DealID,TrancheID,ISIN,OriginalBalance,CurrentBalance,Factor,Attachment,Detachment,CreditEnhancement,Coupon,MaturityDate,CutoffDate
AVON2,Class A,XS2229040725,666345000,648188081.84,0.972751,0.1800,1.0000,0.1800,SONIA+0.90,2048-09-21,2020-11-30
AVON2,Class B,XS2229040998,32504000,32504000.00,1.000000,0.1400,0.1800,0.1400,SONIA+1.50,2048-09-21,2020-11-30
AVON2,Class C,XS2229041020,32505000,32505000.00,1.000000,0.1000,0.1400,0.1000,SONIA+2.00,2048-09-21,2020-11-30
AVON2,Class D,XS2229041293,24378000,24378000.00,1.000000,0.0700,0.1000,0.0700,SONIA+2.50,2048-09-21,2020-11-30
AVON2,Class E,XS2229041376,20316000,20316000.00,1.000000,0.0450,0.0700,0.0450,SONIA+3.00,2048-09-21,2020-11-30
AVON2,Class F,XS2229041459,8126000,8126000.00,1.000000,0.0350,0.0450,0.0350,SONIA+3.25,2048-09-21,2020-11-30
AVON2,Class Z,XS2229041533,28441000,28441000.00,1.000000,0.0000,0.0350,0.0000,,2048-09-21,2020-11-30
