DealID,TrancheID,ISIN,OriginalBalance,CurrentBalance,Factor,Attachment,Detachment,CreditEnhancement,Coupon,MaturityDate,CutoffDate
BLETCHLEY,Class A,XS2852991585,207150000,206049819.26,0.9947,0.1536,1.0,0.1536,SONIA+1.20,2060-05-15,2024-07-31
BLETCHLEY,Class B,XS2852991742,13058000,13058000,1.0,0.0999,0.1536,0.0999,SONIA+1.75,2060-05-15,2024-07-31
BLETCHLEY,Class C,XS2852991825,8903000,8903000,1.0,0.0633,0.0999,0.0633,SONIA+2.25,2060-05-15,2024-07-31
BLETCHLEY,Class D,XS2852992047,4748000,4748000,1.0,0.0438,0.0633,0.0438,SONIA+3.00,2060-05-15,2024-07-31
BLETCHLEY,Class E,XS2852992120,3563000,3563000,1.0,0.0291,0.0438,0.0291,SONIA+4.50,2060-05-15,2024-07-31
BLETCHLEY,Class X1,XS2852992393,4154000,2409989.35,0.5802,0.0,0.0291,0.0,SONIA+0.50,2060-05-15,2024-07-31
BLETCHLEY,Class X2,XS2852992559,2967000,2967000,1.0,0.0,0.0291,0.0,SONIA+1.00,2060-05-15,2024-07-31
